sorter,arrangement,size,median_nanos
InsertionSort,RAND,20000,294238600
InsertionSort,DESC,0,100
InsertionSort,DESC,1000,2600
InsertionSort,DESC,2000,5000
InsertionSort,DESC,3000,7500
InsertionSort,DESC,4000,9900
InsertionSort,DESC,5000,12400
InsertionSort,DESC,6000,16300
InsertionSort,DESC,7000,18600
InsertionSort,DESC,8000,23400
InsertionSort,DESC,9000,23900
InsertionSort,DESC,10000,28300
InsertionSort,DESC,11000,28800
InsertionSort,DESC,12000,31600
InsertionSort,DESC,13000,33000
InsertionSort,DESC,14000,35100
InsertionSort,DESC,15000,37900
InsertionSort,DESC,16000,40600
InsertionSort,DESC,17000,46500
InsertionSort,DESC,18000,46200
InsertionSort,DESC,19000,52100
InsertionSort,DESC,20000,57800
MergeSort,ASC,0,700
MergeSort,ASC,1000,170900
MergeSort,ASC,2000,365200
MergeSort,ASC,3000,652000
MergeSort,ASC,4000,958800
MergeSort,ASC,5000,1877900
MergeSort,ASC,6000,3531700
MergeSort,ASC,7000,19136500
MergeSort,ASC,8000,6747700
MergeSort,ASC,9000,7469200
MergeSort,ASC,10000,8103300
MergeSort,ASC,11000,9767300
MergeSort,ASC,12000,11771600
MergeSort,ASC,13000,13063700
MergeSort,ASC,14000,14525700
MergeSort,ASC,15000,16860400
MergeSort,ASC,16000,26169400
MergeSort,ASC,17000,25119900
MergeSort,ASC,18000,24872800
MergeSort,ASC,19000,27134800
MergeSort,ASC,20000,30146400
MergeSort,RAND,0,300
MergeSort,RAND,1000,178900
MergeSort,RAND,2000,384000
MergeSort,RAND,3000,680700
MergeSort,RAND,4000,1070600
MergeSort,RAND,5000,10441500
MergeSort,RAND,6000,3531100
MergeSort,RAND,7000,4363700
MergeSort,RAND,8000,5615500
MergeSort,RAND,9000,7579200
MergeSort,RAND,10000,8387000
MergeSort,RAND,11000,9761100
MergeSort,RAND,12000,11382900
MergeSort,RAND,13000,13182200
MergeSort,RAND,14000,15460200
MergeSort,RAND,15000,17500700
MergeSort,RAND,16000,19535500
MergeSort,RAND,17000,22499300
MergeSort,RAND,18000,24047700
MergeSort,RAND,19000,27798900
MergeSort,RAND,20000,29885600
MergeSort,DESC,0,4000
MergeSort,DESC,1000,74700
MergeSort,DESC,2000,175800
MergeSort,DESC,3000,324000
MergeSort,DESC,4000,515800
MergeSort,DESC,5000,1054000
MergeSort,DESC,6000,2370700
MergeSort,DESC,7000,3778000
MergeSort,DESC,8000,4848600
MergeSort,DESC,9000,6174500
MergeSort,DESC,10000,7450500
MergeSort,DESC,11000,9152000
MergeSort,DESC,12000,11049900
MergeSort,DESC,13000,12436800
MergeSort,DESC,14000,14901600
MergeSort,DESC,15000,16875000
MergeSort,DESC,16000,18656900
MergeSort,DESC,17000,21109500
MergeSort,DESC,18000,24433200
MergeSort,DESC,19000,27139700
MergeSort,DESC,20000,30220600
QuickSortIterativeHoare,ASC,0,700
QuickSortIterativeHoare,ASC,1000,4188500
QuickSortIterativeHoare,ASC,2000,2380600
QuickSortIterativeHoare,ASC,3000,5034000
QuickSortIterativeHoare,ASC,4000,8811800
QuickSortIterativeHoare,ASC,5000,13128000
QuickSortIterativeHoare,ASC,6000,17953000
QuickSortIterativeHoare,ASC,7000,23529500
QuickSortIterativeHoare,ASC,8000,31100400
QuickSortIterativeHoare,ASC,9000,48936000
QuickSortIterativeHoare,ASC,10000,64724400
QuickSortIterativeHoare,ASC,11000,72754900
QuickSortIterativeHoare,ASC,12000,86572200
QuickSortIterativeHoare,ASC,13000,99192300
QuickSortIterativeHoare,ASC,14000,115798000
QuickSortIterativeHoare,ASC,15000,139315900
QuickSortIterativeHoare,ASC,16000,166216400
QuickSortIterativeHoare,ASC,17000,167603400
QuickSortIterativeHoare,ASC,18000,186203400
QuickSortIterativeHoare,ASC,19000,207802500
QuickSortIterativeHoare,ASC,20000,229132100
QuickSortIterativeHoare,RAND,0,200
QuickSortIterativeHoare,RAND,1000,364700
QuickSortIterativeHoare,RAND,2000,681400
QuickSortIterativeHoare,RAND,3000,785300
QuickSortIterativeHoare,RAND,4000,1135100
QuickSortIterativeHoare,RAND,5000,2368300
QuickSortIterativeHoare,RAND,6000,665600
QuickSortIterativeHoare,RAND,7000,796500
QuickSortIterativeHoare,RAND,8000,930300
QuickSortIterativeHoare,RAND,9000,1003500
QuickSortIterativeHoare,RAND,10000,1330400
QuickSortIterativeHoare,RAND,11000,1619700
QuickSortIterativeHoare,RAND,12000,1592300
QuickSortIterativeHoare,RAND,13000,1323200
QuickSortIterativeHoare,RAND,14000,1695200
QuickSortIterativeHoare,RAND,15000,1504800
QuickSortIterativeHoare,RAND,16000,1574900
QuickSortIterativeHoare,RAND,17000,1717500
QuickSortIterativeHoare,RAND,18000,1967400
QuickSortIterativeHoare,RAND,19000,2036300
QuickSortIterativeHoare,RAND,20000,2112200
QuickSortIterativeHoare,DESC,0,7000
QuickSortIterativeHoare,DESC,1000,731800
QuickSortIterativeHoare,DESC,2000,2421800
QuickSortIterativeHoare,DESC,3000,5168500
QuickSortIterativeHoare,DESC,4000,9302700
QuickSortIterativeHoare,DESC,5000,15112200
QuickSortIterativeHoare,DESC,6000,21600100
QuickSortIterativeHoare,DESC,7000,29736800
QuickSortIterativeHoare,DESC,8000,38885600
QuickSortIterativeHoare,DESC,9000,53035600
QuickSortIterativeHoare,DESC,10000,59576300
QuickSortIterativeHoare,DESC,11000,82855300
QuickSortIterativeHoare,DESC,12000,87962800
QuickSortIterativeHoare,DESC,13000,106830700
QuickSortIterativeHoare,DESC,14000,119348600
QuickSortIterativeHoare,DESC,15000,134556300
QuickSortIterativeHoare,DESC,16000,156987800
QuickSortIterativeHoare,DESC,17000,176096800
QuickSortIterativeHoare,DESC,18000,243550000
QuickSortIterativeHoare,DESC,19000,227146800
QuickSortIterativeHoare,DESC,20000,236335100
QuickSortIterativeLomuto,ASC,0,600
QuickSortIterativeLomuto,ASC,1000,2625200
QuickSortIterativeLomuto,ASC,2000,1635000
QuickSortIterativeLomuto,ASC,3000,3484900
QuickSortIterativeLomuto,ASC,4000,5864800
QuickSortIterativeLomuto,ASC,5000,9407200
QuickSortIterativeLomuto,ASC,6000,13473300
QuickSortIterativeLomuto,ASC,7000,16902400
QuickSortIterativeLomuto,ASC,8000,22044900
QuickSortIterativeLomuto,ASC,9000,44249500
QuickSortIterativeLomuto,ASC,10000,53988500
QuickSortIterativeLomuto,ASC,11000,68159300
QuickSortIterativeLomuto,ASC,12000,77240200
QuickSortIterativeLomuto,ASC,13000,92919900
QuickSortIterativeLomuto,ASC,14000,154118400
QuickSortIterativeLomuto,ASC,15000,196007100
QuickSortIterativeLomuto,ASC,16000,245003500
QuickSortIterativeLomuto,ASC,17000,208398800
QuickSortIterativeLomuto,ASC,18000,231562300
QuickSortIterativeLomuto,ASC,19000,249970300
QuickSortIterativeLomuto,ASC,20000,366326400
QuickSortIterativeLomuto,RAND,0,300
QuickSortIterativeLomuto,RAND,1000,1060800
QuickSortIterativeLomuto,RAND,2000,2001900
QuickSortIterativeLomuto,RAND,3000,1627000
QuickSortIterativeLomuto,RAND,4000,5028700
QuickSortIterativeLomuto,RAND,5000,2790100
QuickSortIterativeLomuto,RAND,6000,1033100
QuickSortIterativeLomuto,RAND,7000,1575700
QuickSortIterativeLomuto,RAND,8000,1617200
QuickSortIterativeLomuto,RAND,9000,2016000
QuickSortIterativeLomuto,RAND,10000,2138600
QuickSortIterativeLomuto,RAND,11000,2181600
QuickSortIterativeLomuto,RAND,12000,3128300
QuickSortIterativeLomuto,RAND,13000,3065100
QuickSortIterativeLomuto,RAND,14000,3096200
QuickSortIterativeLomuto,RAND,15000,3349800
QuickSortIterativeLomuto,RAND,16000,2931800
QuickSortIterativeLomuto,RAND,17000,3390900
QuickSortIterativeLomuto,RAND,18000,4079800
QuickSortIterativeLomuto,RAND,19000,3911200
QuickSortIterativeLomuto,RAND,20000,3982600
QuickSortIterativeLomuto,DESC,0,21900
QuickSortIterativeLomuto,DESC,1000,1112500
QuickSortIterativeLomuto,DESC,2000,4246200
QuickSortIterativeLomuto,DESC,3000,9430300
QuickSortIterativeLomuto,DESC,4000,16081600
QuickSortIterativeLomuto,DESC,5000,26098200
QuickSortIterativeLomuto,DESC,6000,32578200
QuickSortIterativeLomuto,DESC,7000,39918100
QuickSortIterativeLomuto,DESC,8000,48971700
QuickSortIterativeLomuto,DESC,9000,59572100
QuickSortIterativeLomuto,DESC,10000,71657000
QuickSortIterativeLomuto,DESC,11000,91421200
QuickSortIterativeLomuto,DESC,12000,135727900
QuickSortIterativeLomuto,DESC,13000,133151500
QuickSortIterativeLomuto,DESC,14000,184799000
QuickSortIterativeLomuto,DESC,15000,199753600
QuickSortIterativeLomuto,DESC,16000,181646500
QuickSortIterativeLomuto,DESC,17000,166006700
QuickSortIterativeLomuto,DESC,18000,232894800
QuickSortIterativeLomuto,DESC,19000,200832400
QuickSortIterativeLomuto,DESC,20000,299176300
QuickSortIterativeMedian3,ASC,0,1000
QuickSortIterativeMedian3,ASC,1000,1459300
QuickSortIterativeMedian3,ASC,2000,1729500
QuickSortIterativeMedian3,ASC,3000,3256400
QuickSortIterativeMedian3,ASC,4000,5472200
QuickSortIterativeMedian3,ASC,5000,9561800
QuickSortIterativeMedian3,ASC,6000,11307800
QuickSortIterativeMedian3,ASC,7000,13524800
QuickSortIterativeMedian3,ASC,8000,16511100
QuickSortIterativeMedian3,ASC,9000,23953300
QuickSortIterativeMedian3,ASC,10000,29229500
QuickSortIterativeMedian3,ASC,11000,30674700
QuickSortIterativeMedian3,ASC,12000,32703600
QuickSortIterativeMedian3,ASC,13000,37114300
QuickSortIterativeMedian3,ASC,14000,42839400
QuickSortIterativeMedian3,ASC,15000,51642900
QuickSortIterativeMedian3,ASC,16000,57324800
QuickSortIterativeMedian3,ASC,17000,65160900
QuickSortIterativeMedian3,ASC,18000,81354700
QuickSortIterativeMedian3,ASC,19000,79237200
QuickSortIterativeMedian3,ASC,20000,83560100
QuickSortIterativeMedian3,RAND,0,100
QuickSortIterativeMedian3,RAND,1000,835500
QuickSortIterativeMedian3,RAND,2000,411600
QuickSortIterativeMedian3,RAND,3000,900400
QuickSortIterativeMedian3,RAND,4000,1023400
QuickSortIterativeMedian3,RAND,5000,1506900
QuickSortIterativeMedian3,RAND,6000,1655300
QuickSortIterativeMedian3,RAND,7000,1287600
QuickSortIterativeMedian3,RAND,8000,953900
QuickSortIterativeMedian3,RAND,9000,1089400
QuickSortIterativeMedian3,RAND,10000,1261700
QuickSortIterativeMedian3,RAND,11000,1576500
QuickSortIterativeMedian3,RAND,12000,1650600
QuickSortIterativeMedian3,RAND,13000,1505600
QuickSortIterativeMedian3,RAND,14000,1477200
QuickSortIterativeMedian3,RAND,15000,1589600
QuickSortIterativeMedian3,RAND,16000,1750800
QuickSortIterativeMedian3,RAND,17000,1884300
QuickSortIterativeMedian3,RAND,18000,1971400
QuickSortIterativeMedian3,RAND,19000,2162300
QuickSortIterativeMedian3,RAND,20000,2290000
QuickSortIterativeMedian3,DESC,0,7100
QuickSortIterativeMedian3,DESC,1000,408300
QuickSortIterativeMedian3,DESC,2000,870200
QuickSortIterativeMedian3,DESC,3000,1886800
QuickSortIterativeMedian3,DESC,4000,3450100
QuickSortIterativeMedian3,DESC,5000,5251800
QuickSortIterativeMedian3,DESC,6000,7995000
QuickSortIterativeMedian3,DESC,7000,10428600
QuickSortIterativeMedian3,DESC,8000,17653200
QuickSortIterativeMedian3,DESC,9000,20761500
QuickSortIterativeMedian3,DESC,10000,24549600
QuickSortIterativeMedian3,DESC,11000,29013500
QuickSortIterativeMedian3,DESC,12000,42975900
QuickSortIterativeMedian3,DESC,13000,48157500
QuickSortIterativeMedian3,DESC,14000,48859700
QuickSortIterativeMedian3,DESC,15000,52316800
QuickSortIterativeMedian3,DESC,16000,55276600
QuickSortIterativeMedian3,DESC,17000,66758100
QuickSortIterativeMedian3,DESC,18000,68395400
QuickSortIterativeMedian3,DESC,19000,70994400
QuickSortIterativeMedian3,DESC,20000,77758000
QuickSortIterativeRandom,ASC,0,600
QuickSortIterativeRandom,ASC,1000,515900
QuickSortIterativeRandom,ASC,2000,940800
QuickSortIterativeRandom,ASC,3000,1212400
QuickSortIterativeRandom,ASC,4000,1587900
QuickSortIterativeRandom,ASC,5000,1780300
QuickSortIterativeRandom,ASC,6000,787100
QuickSortIterativeRandom,ASC,7000,1389600
QuickSortIterativeRandom,ASC,8000,1634400
QuickSortIterativeRandom,ASC,9000,1888000
QuickSortIterativeRandom,ASC,10000,2036200
QuickSortIterativeRandom,ASC,11000,1409800
QuickSortIterativeRandom,ASC,12000,1653700
QuickSortIterativeRandom,ASC,13000,1708100
QuickSortIterativeRandom,ASC,14000,1841000
QuickSortIterativeRandom,ASC,15000,2189700
QuickSortIterativeRandom,ASC,16000,2079400
QuickSortIterativeRandom,ASC,17000,1833000
QuickSortIterativeRandom,ASC,18000,2090900
QuickSortIterativeRandom,ASC,19000,2048500
QuickSortIterativeRandom,ASC,20000,2136000
QuickSortIterativeRandom,RAND,0,100
QuickSortIterativeRandom,RAND,1000,468400
QuickSortIterativeRandom,RAND,2000,562400
QuickSortIterativeRandom,RAND,3000,1111000
QuickSortIterativeRandom,RAND,4000,1128400
QuickSortIterativeRandom,RAND,5000,1367900
QuickSortIterativeRandom,RAND,6000,1571300
QuickSortIterativeRandom,RAND,7000,1672400
QuickSortIterativeRandom,RAND,8000,1602500
QuickSortIterativeRandom,RAND,9000,1736900
QuickSortIterativeRandom,RAND,10000,1923300
QuickSortIterativeRandom,RAND,11000,2827300
QuickSortIterativeRandom,RAND,12000,2765900
QuickSortIterativeRandom,RAND,13000,2995700
QuickSortIterativeRandom,RAND,14000,2522500
QuickSortIterativeRandom,RAND,15000,2778600
QuickSortIterativeRandom,RAND,16000,3109200
QuickSortIterativeRandom,RAND,17000,3175400
